book_id,para_id,pali_paragraph,translation_paragraph
abh01a.att,40,"Kammaṭṭhānāni sabbāni, cariyābhiññā vipassanā;","Since all meditation subjects, practices, psychic powers, and insight meditation,"
abh01a.att,41,"Visuddhimagge panidaṃ, yasmā sabbaṃ pakāsitaṃ.",All these have been expounded in the Visuddhimagga;
abh01a.att,42,"Tasmā taṃ aggahetvāna, sakalāyapi tantiyā;","Therefore, without taking those here, I shall undertake the explanation of the meaning,"
abh01a.att,43,"Padānukkamato eva, karissāmatthavaṇṇanaṃ.",Only according to the sequence of words of the entire Pāḷi Canon.
abh01a.att,44,"Iti  me bhāsamānassa, abhidhammakathaṃ imaṃ;","Therefore, as I expound this Abhidhamma discourse,"
abh01a.att,45,"Avikkhittā nisāmetha, dullabhā hi ayaṃ kathāti.","Listen attentively, for this discourse is rare indeed!"
abh01a.att,46,##### Nidānakathā,##### Introduction
abh01a.att,47,"Tattha  kenaṭṭhena abhidhammo? Dhammātirekadhammavisesaṭṭhena. Atirekavisesatthadīpako hettha ‘abhi’-saddo. ‘‘Bāḷhā me dukkhā vedanā abhikkamanti no paṭikkamanti’’ (ma. ni. 3.384; saṃ. ni. 5.195) ‘‘abhikkantavaṇṇā’’tiādīsu (saṃ. ni. 1.1-2) viya. Tasmā yathā samussitesu bahūsu chattesu ceva dhajesu ca yaṃ atirekappamāṇaṃ visesavaṇṇasaṇṭhānañca chattaṃ, taṃ ‘aticchatta’nti vuccati, yo atirekappamāṇo nānāvirāgavaṇṇavisesasampanno ca dhajo so ‘atidhajo’ti vuccati, yathā ca ekato sannipatitesu bahūsu rājakumāresu ceva devesu ca yo jātibhogayasaissariyādisampattīhi atirekataro ceva visesavantataro ca rājakumāro so ‘atirājakumāro’ti vuccati, yo āyuvaṇṇaissariyayasasampattiādīhi atirekataro ceva visesavantataro ca devo so ‘atidevo’ti vuccati, tathārūpo brahmāpi ‘atibrahmā’ti vuccati, evameva ayampi dhammo dhammātirekadhammavisesaṭṭhena ‘abhidhammo’ti vuccati.","In this regard, for what reason is it called **Abhidhamma**? It is called Abhidhamma by reason of being an exceeding Dhamma and a distinguished Dhamma. Here, the prefix ‘abhi-’ indicates an exceeding and distinguished meaning. Like in phrases such as “My painful feelings, friend, are severe, they increase, they do not decrease” and “of distinguished complexion.” Therefore, just as among many parasols and banners set up, that parasol which is of exceeding size and of distinguished color and form is called ‘atichatta’ (exceeding parasol), and that banner which is of exceeding size and endowed with various distinguished colors is called ‘atidhaja’ (exceeding banner); and just as among many princes and devas gathered together, that prince who is exceedingly superior and more distinguished in terms of birth, wealth, fame, sovereignty, and so on, is called ‘atirājakumāro’ (exceeding prince), and that deva who is exceedingly superior and more distinguished in terms of life-span, complexion, sovereignty, fame, prosperity, and so on, is called ‘atidevo’ (exceeding deva); similarly, a Brahmā of such a nature is also called ‘atibrahmā’ (exceeding Brahmā). Just so, this Dhamma is called **‘Abhidhamma’** by reason of being an exceeding Dhamma and a distinguished Dhamma."
abh01a.att,48,"Suttantañhi patvā pañcakkhandhā ekadeseneva vibhattā, na nippadesena; abhidhammaṃ patvā pana suttantabhājanīyaabhidhammabhājanīyapañhapucchakanayānaṃ vasena nippadesato vibhattā. Tathā dvādasāyatanāni, aṭṭhārasa dhātuyo, cattāri saccāni, bāvīsatindriyāni, dvādasapadiko paccayākāro. Kevalañhi  indriyavibhaṅge suttantabhājanīyaṃ natthi, paccayākāre ca pañhapucchakaṃ natthi. Suttantañca patvā cattāro satipaṭṭhānā ekadeseneva vibhattā, na nippadesena; abhidhammaṃ patvā pana tiṇṇampi nayānaṃ vasena nippadesatova vibhattā. Tathā cattāri sammappadhānāni, cattāro iddhipādā, satta bojjhaṅgā, ariyo aṭṭhaṅgiko maggo, cattāri jhānāni, catasso appamaññāyo, pañca sikkhāpadāni, catasso paṭisambhidā. Kevalañhettha sikkhāpadavibhaṅge suttantabhājanīyaṃ natthi. Suttantaṃ patvā ca ñāṇaṃ ekadeseneva vibhattaṃ na nippadesena; tathā kilesā. Abhidhammaṃ patvā pana ‘‘ekavidhena ñāṇavatthū’’tiādinā (vibha. 751) nayena mātikaṃ ṭhapetvā nippadesatova  vibhattaṃ. Tathā ekakato paṭṭhāya anekehi nayehi kilesā. Suttantaṃ  patvā ca bhūmantaraparicchedo ekadeseneva vibhatto, na nippadesena; abhidhammaṃ pana patvā tiṇṇampi nayānaṃ vasena bhūmantaraparicchedo nippadesatova vibhatto. Evaṃ dhammātirekadhammavisesaṭṭhena abhidhammoti veditabbo.","Indeed, in the Suttantas, the five aggregates are analyzed only partially, not completely; but upon reaching the Abhidhamma, they are analyzed completely by means of the Suttantabhājanīya, Abhidhammabhājanīya, and Pañhapucchaka methods. Similarly, the twelve āyatanas, the eighteen dhātus, the four noble truths, the twenty-two indriyas, and the twelve-linked paṭiccasamuppāda. It is only in the Indriyavibhaṅga that there is no Suttantabhājanīya, and in the Paccayākāra there is no Pañhapucchaka. And in the Suttantas, the four foundations of mindfulness are analyzed only partially, not completely; but upon reaching the Abhidhamma, they are analyzed completely by means of all three methods. Similarly, the four right exertions, the four bases of psychic power, the seven factors of enlightenment, the Noble Eightfold Path, the four jhānā, the four boundless states (brahmavihāras), the five precepts, and the four paṭisambhidā. Only in the Sikkhāpadavibhaṅga is there no Suttantabhājanīya. And in the Suttantas, knowledge is analyzed only partially, not completely; similarly, defilements. But upon reaching the Abhidhamma, knowledge is analyzed completely, starting from the Mātikā, by the method of “one kind of basis of knowledge,” and so on. Similarly, defilements are analyzed in many ways, starting from the single category. And in the Suttantas, the delineation of different planes of existence is analyzed only partially, not completely; but upon reaching the Abhidhamma, the delineation of different planes of existence is analyzed completely by means of all three methods. Thus, it should be understood that Abhidhamma means Dhamma that is exceeding and distinguished Dhamma."
abh01a.att,49,"Pakaraṇaparicchedato panesa dhammasaṅgaṇīvibhaṅgadhātukathāpuggalapaññattikathāvatthuyamakapaṭṭhānānaṃ sattannaṃ pakaraṇānaṃ vasena ṭhito. Ayamettha ācariyānaṃ samānakathā. Vitaṇḍavādī panāha – ‘kathāvatthu kasmā gahitaṃ? Nanu sammāsambuddhassa parinibbānato aṭṭhārasavassādhikāni dve vassasatāni atikkamitvā moggaliputtatissattherenetaṃ ṭhapitaṃ? Tasmā sāvakabhāsitattā chaḍḍetha na’nti. ‘Kiṃ pana chappakaraṇāni abhidhammo’ti? ‘Evaṃ na vadāmī’ti. ‘Atha kiṃ vadesī’ti. ‘Sattappakaraṇānī’ti. ‘Kataraṃ gahetvā satta karosī’ti? ‘Mahādhammahadayaṃ nāma atthi, etena saha sattā’ti. ‘Mahādhammahadaye apubbaṃ natthi, katipayāva pañhāvārā avasesā, kathāvatthunāva saddhiṃ sattā’ti. ‘No kathāvatthunā, mahādhātukathā  nāma atthi, tāya saddhiṃ sattā’ti. ‘Mahādhātukathāyaṃ apubbaṃ natthi, appamattikāva tanti avasesā. Kathāvatthunāva saddhiṃ sattā’ti.","Furthermore, this Abhidhamma stands by reason of its division into seven treatises: Dhammasaṅgaṇī, Vibhaṅga, Dhātukathā, Puggalapaññatti, Kathāvatthu, Yamaka, and Paṭṭhāna. This is the common discourse among the teachers. However, the cavilling disputant says: ‘Why is the Kathāvatthu included? Was it not composed by the Elder Moggaliputtatissa two hundred and eighteen years after the Parinibbāna of the Perfectly Self-Enlightened One? Therefore, since it was spoken by a disciple, reject it!’ ‘But is the Abhidhamma only six treatises?’ ‘I do not say so.’ ‘Then what do you say?’ ‘Seven treatises.’ ‘Which one do you take to make seven?’ ‘There is one called Mahādhammāhadaya; with this, there are seven.’ ‘In Mahādhammāhadaya there is nothing new; only a few question-sections remain, so with Kathāvatthu alone there are seven.’ ‘No, not with Kathāvatthu. There is one called Mahādhātukathā; with that, there are seven.’ ‘In Mahādhātukathā there is nothing new; only a very small amount of Pāḷi remains. With Kathāvatthu alone, there are seven.’"
abh01a.att,50,"Sammāsambuddho hi sattappakaraṇāni desento kathāvatthuṃ patvā yā esā puggalavāre tāva catūsu pañhesu dvinnaṃ pañcakānaṃ vasena aṭṭhamukhā vādayutti taṃ ādiṃ katvā sabbakathāmaggesu asampuṇṇabhāṇavāramattāya pāḷiyā mātikaṃ ṭhapesi. Sā panesā ‘‘puggalo upalabbhati saccikaṭṭhaparamatthenāti. Āmantā. Yo saccikaṭṭho paramattho tato so puggalo upalabbhati saccikaṭṭhaparamatthenāti. Nahevaṃ vattabbe. Ājānāhi niggahaṃ…pe… puggalo nupalabbhati saccikaṭṭhaparamatthenāti. Āmantā. Yo saccikaṭṭho paramattho tato so puggalo nupalabbhati saccikaṭṭhaparamatthenāti. Nahevaṃ vattabbe. Ājānāhi niggahaṃ…pe…. Sabbattha puggalo upalabbhati sabbattha puggalo nupalabbhati, sabbadā puggalo upalabbhati sabbadā puggalo nupalabbhati, sabbesu puggalo upalabbhati sabbesu puggalo nupalabbhati saccikaṭṭhaparamatthenā’’ti (kathā. 15-16) evaṃ paṭhamaṃ vādaṃ nissāya  paṭhamaṃ niggahaṃ, dutiyaṃ nissāya dutiyaṃ …pe… aṭṭhamaṃ nissāya aṭṭhamaṃ niggahaṃ dassentena satthārā ṭhapitā. Iminā nayena sabbattha mātikāṭhapanaṃ veditabbaṃ. Taṃ panetaṃ mātikaṃ ṭhapento imaṃ disvā ṭhapesi – mama parinibbānato aṭṭhārasavassādhikānaṃ dvinnaṃ vassasatānaṃ matthake moggaliputtatissatthero nāma bhikkhu  bhikkhusahassamajjhe nisinno sakavāde pañca suttasatāni paravāde pañcāti suttasahassaṃ samodhānetvā dīghanikāyappamāṇaṃ kathāvatthuppakaraṇaṃ bhājessatīti.","The Perfectly Awakened One, when teaching the seven treatises, arrived at the Kathāvatthu, and starting with that eight-fold dialectic, which is by way of two pentads in the four questions within the Puggalavāra, He laid down the Mātika in the Pāḷi for all the lines of discourse, to the extent of an incomplete Bhāṇavāra. That Mātika, however, is: ‘‘Is a person apprehended in the sense of a true ultimate reality? Yes. Is that person apprehended in the sense of a true ultimate reality as separate from that which is true ultimate reality? It should not be said thus. Understand the rebuttal…pe… Is a person not apprehended in the sense of a true ultimate reality? Yes. Is that person not apprehended in the sense of a true ultimate reality as separate from that which is true ultimate reality? It should not be said thus. Understand the rebuttal…pe…. Is a person apprehended everywhere, is a person not apprehended everywhere, is a person apprehended always, is a person not apprehended always, is a person apprehended in all things, is a person not apprehended in all things, in the sense of a true ultimate reality?’’ It was established by the Teacher, showing the first rebuttal based on the first argument, the second based on the second…pe… the eighth based on the eighth. In this manner, the establishment of the Mātika everywhere should be understood. When establishing this Mātika, He established it having foreseen this: ‘‘After two hundred and eighteen years from my parinibbāna, a monk named **Moggaliputtatissa Thera**, sitting amidst a thousand monks, will divide the Kathāvatthu treatise, which is as extensive as the Dīgha Nikāya, by combining five hundred suttas for his own school and five hundred for other schools, making a total of one thousand suttas.’’"
abh01a.att,51,"Moggaliputtatissattheropi idaṃ pakaraṇaṃ desento na attano ñāṇena desesi, satthārā pana dinnanayena ṭhapitamātikāya desesi. Iti satthārā dinnanayena ṭhapitamātikāya desitattā sakalampetaṃ pakaraṇaṃ buddhabhāsitameva nāma jātaṃ. Yathā kiṃ? Yathā madhupiṇḍikasuttantādīni. Madhupiṇḍikasuttantasmiñhi bhagavā ‘‘yatonidānaṃ bhikkhu purisaṃ papañcasaññāsaṅkhā samudācaranti, ettha ce natthi abhinanditabbaṃ abhivaditabbaṃ ajjhositabbaṃ, esevanto rāgānusayāna’’nti (ma. ni. 1.202) mātikaṃ ṭhapetvā uṭṭhāyāsanā vihāraṃ pāvisi.","**Moggaliputtatissa Thera**, when expounding this treatise, did not expound it by his own knowledge, but by means of the Mātika established by the Teacher according to the method He gave. Thus, because it was expounded by means of the Mātika established by the Teacher according to the method He gave, this entire treatise became known as the Buddha’s discourse. Like what? Like the Madhupiṇḍika Suttanta and others. For in the Madhupiṇḍika Suttanta, the Blessed One laid down the Mātika: ‘‘Bhikkhu, that from which the ideas and concepts of proliferation arise for a person—if there is nothing to be delighted in, to be spoken of, or to be clung to there, that is the end of the latent tendencies of passion,’’ and rising from His seat, He entered the monastery."
abh01a.att,52,"Dhammappaṭiggāhakā bhikkhū mahākaccānattheraṃ upasaṅkamitvā dasabalena ṭhapitamātikāya atthaṃ pucchiṃsu. Thero pucchitamattakeneva akathetvā dasabalassa apacitidassanatthaṃ ‘‘seyyathāpi āvuso puriso sāratthiko sāragavesī’’ti (ma. ni. 1.203) sāropamaṃ āharitvā sārarukkho viya bhagavā sākhāpalāsasadisā sāvakā, ‘‘so hāvuso bhagavā jānaṃ jānāti, passaṃ passati cakkhubhūto ñāṇabhūto dhammabhūto brahmabhūto vattā pavattā atthassa ninnetā amatassa dātā dhammassāmī tathāgato’’ti satthāraṃ thometvā punappunaṃ therehi yācito satthārā ṭhapitamātikāya atthaṃ vibhajitvā ‘‘ākaṅkhamānā ca pana tumhe āyasmanto bhagavantaṃyeva upasaṅkamitvā etamatthaṃ paṭipuccheyyātha sace sabbaññutaññāṇena saddhiṃ saṃsandiyamānaṃ sameti gaṇheyyātha, no ce mā gaṇhitthā’’ti iminā adhippāyena ‘‘yathā vo bhagavā byākaroti tathā naṃ dhāreyyāthā’’ti vatvā uyyojesi.","The bhikkhus who received the Dhamma approached **Mahākaccāna Thera** and asked for the meaning of the Mātika established by the Ten-Powered One. The Thera, without answering merely upon being asked, in order to show reverence for the Ten-Powered One, brought forth the simile of the essence by saying: ‘‘Just as, friends, a man in need of heartwood, seeking heartwood,’’ (implying that the Blessed One is like the heartwood tree, and the disciples are like its branches and leaves). He praised the Teacher, saying: ‘‘Indeed, friends, that Blessed One knows what is to be known, sees what is to be seen; He is the Eye, the Knowledge, the Dhamma, the Brahmā; He is the Speaker, the Expounder, the Leader to the meaning, the Giver of the Deathless, the Lord of Dhamma, the Tathāgata.’’ Being repeatedly entreated by the elder monks, he then explained the meaning of the Mātika established by the Teacher and sent them away, saying: ‘‘If you, venerable sirs, desire, you may go and ask the Blessed One Himself about this matter. If it agrees when compared with the omniscience, you may accept it; if not, do not accept it.’’ And so, with this intention, he said: ‘‘You should bear it in mind just as the Blessed One explains it to you.’’"
abh01a.att,53,"Te  satthāraṃ upasaṅkamitvā pucchiṃsu. Satthā dukkathitaṃ kaccānenāti avatvā suvaṇṇāliṅgaṃ ussāpento viya gīvaṃ unnāmetvā supupphitasatapattasassirikaṃ mahāmukhaṃ pūrento brahmassaraṃ nicchāretvā sādhu sādhūti therassa sādhukāraṃ datvā ‘‘paṇḍito, bhikkhave, mahākaccāno, mahāpañño bhikkhave mahākaccāno, maṃ cepi tumhe, bhikkhave, etamatthaṃ paṭipuccheyyātha, ahampi taṃ evamevaṃ byākareyyaṃ yathā taṃ mahākaccānena byākata’’nti (ma. ni. 1.205) āha.","They approached the Teacher and asked. The Teacher, without saying ‘‘Kaccāna has explained it poorly,’’ but rather raising His neck as if lifting a golden bell, filling His great mouth, radiant like a fully bloomed lotus, and emitting a Brahmā-like voice, gave His approval to the Thera by saying, ‘‘Good, good! Bhikkhus, Mahākaccāna is wise; bhikkhus, Mahākaccāna possesses great wisdom. Even if you, bhikkhus, were to ask me about this matter, I would explain it to you in exactly the same way as Mahākaccāna has explained it.’’"
abh01a.att,54,Evaṃ satthārā anumoditakālato paṭṭhāya ca pana sakalaṃ suttaṃ buddhabhāsitaṃ nāma jātaṃ. Ānandattherādīhi  vitthāritasuttesupi eseva nayo. Evameva sammāsambuddho sattappakaraṇāni desento kathāvatthuṃ patvā vuttanayena mātikaṃ ṭhapesi. Ṭhapento  ca pana imaṃ addasa –,"Thus, from the time of the Teacher’s approval, the entire sutta became known as the Buddha’s discourse. The same method applies to the suttas elaborated by **Ānanda Thera** and others. In the same way, the Perfectly Awakened One, while teaching the seven treatises, came to the Kathāvatthu and established the Mātika in the manner described. And as He established it, He foresaw this—"
abh01a.att,55,Mama parinibbānato aṭṭhārasavassādhikānaṃ dvinnaṃ vassasatānaṃ matthake moggaliputtatissatthero nāma bhikkhu bhikkhusahassamajjhe nisinno sakavāde pañca suttasatāni paravāde pañcāti suttasahassaṃ samodhānetvā dīghanikāyappamāṇaṃ kathāvatthuppakaraṇaṃ bhājessatīti.,"‘‘After two hundred and eighteen years from my parinibbāna, a monk named **Moggaliputtatissa Thera**, sitting amidst a thousand monks, will divide the Kathāvatthu treatise, which is as extensive as the Dīgha Nikāya, by combining five hundred suttas for his own school and five hundred for other schools, making a total of one thousand suttas.’’"
abh01a.att,56,"Moggaliputtatissattheropi imaṃ pakaraṇaṃ desento na attano ñāṇena desesi, satthārā pana dinnanayena ṭhapitamātikāya desesi. Iti satthārā dinnanayena ṭhapitamātikāya desitattā sakalampetaṃ pakaraṇaṃ buddhabhāsitameva jātaṃ. Evaṃ kathāvatthunāva saddhiṃ satta pakaraṇāni abhidhammo nāma.","Moggaliputtatissa Thera, when expounding this treatise, did not expound it by his own knowledge, but by means of the Mātika established by the Teacher according to the method He gave. Thus, because it was expounded by means of the Mātika established by the Teacher according to the method He gave, this entire treatise became known as the Buddha’s discourse. Thus, the seven treatises, including the Kathāvatthu, are called Abhidhamma."
abh01a.att,57,"Tattha dhammasaṅgaṇīpakaraṇe catasso vibhattiyo – cittavibhatti rūpavibhatti nikkheparāsi atthuddhāroti. Tattha kāmāvacarakusalato aṭṭha, akusalato dvādasa, kusalavipākato soḷasa, akusalavipākato satta, kiriyato ekādasa; rūpāvacarakusalato pañca, vipākato pañca, kiriyato pañca; arūpāvacarakusalato cattāri, vipākato cattāri, kiriyato cattāri; lokuttarakusalato cattāri, vipākato cattārīti ekūnanavuti cittāni cittavibhatti nāma. Cittuppādakaṇḍantipi etasseva nāmaṃ. Taṃ vācanāmaggato atirekachabhāṇavāraṃ, vitthāriyamānaṃ pana anantamaparimāṇaṃ hoti.","In the **Dhammasaṅgaṇī treatise**, there are four divisions: Cittavibhatti, Rūpavibhatti, Nikkheparāsi, and Atthuddhāra. Therein, Cittavibhatti comprises eighty-nine cittas: eight from Kāmāvacara Kusala, twelve from Akusala, sixteen from Kusala Vipāka, seven from Akusala Vipāka, eleven from Kiriya; five from Rūpāvacara Kusala, five from Vipāka, five from Kiriya; four from Arūpāvacara Kusala, four from Vipāka, four from Kiriya; four from Lokuttara Kusala, and four from Vipāka. **Cittuppādakaṇḍa** is also a name for this. This, by the traditional recitation method, exceeds six Bhāṇavāras, but when elaborated, it is endless and immeasurable."
abh01a.att,58,Tadanantaraṃ  ekavidhena duvidhenātiādinā nayena mātikaṃ ṭhapetvā vitthārena vibhajitvā dassitā rūpavibhatti nāma. Rūpakaṇḍantipi etasseva nāmaṃ. Taṃ vācanāmaggato atirekadvibhāṇavāraṃ. Vitthāriyamānaṃ pana anantamaparimāṇaṃ hoti.,"After that, the Rūpavibhatti is shown by establishing the Mātika with the method beginning with “of one kind, of two kinds,” and then elaborating it extensively. **Rūpakaṇḍa** is also a name for this. This, by the traditional recitation method, exceeds two Bhāṇavāras. When elaborated, however, it is endless and immeasurable."
abh01a.att,59,Tadanantaraṃ mūlato khandhato dvārato bhūmito atthato dhammato nāmato liṅgatoti evaṃ mūlādīhi nikkhipitvā desito nikkheparāsi nāma. So –,"After that, the Nikkheparāsi is that which is taught by laying it down with regard to root, aggregate, door, plane, meaning, Dhamma, name, and gender. It is said—"
abh01a.att,60,"Mūlato  khandhato cāpi, dvārato cāpi bhūmito;","From root and aggregate,"
abh01a.att,61,"Atthato dhammato cāpi, nāmato cāpi liṅgato;","From meaning and Dhamma, from name and gender;"
abh01a.att,62,"Nikkhipitvā desitattā, nikkhepoti pavuccati.","Because it is taught by laying it down, it is called Nikkhepa."
abh01a.att,63,Nikkhepakaṇḍantipi tasseva nāmaṃ. Taṃ vācanāmaggato timattabhāṇavāraṃ. Vitthāriyamānaṃ pana anantamaparimāṇaṃ hoti.,"The **Nikkhepakaṇḍa** is also a name for that very section. That section, by way of recitation, is three bhāṇavāras in extent. But when expanded, it is infinite and immeasurable."
abh01a.att,64,Tadanantaraṃ pana tepiṭakassa buddhavacanassa atthuddhārabhūtaṃ yāva saraṇadukā nikkhittaṃ aṭṭhakathākaṇḍaṃ nāma. Yato  mahāpakaraṇiyā bhikkhū mahāpakaraṇe gaṇanacāraṃ asallakkhentā gaṇanacāraṃ samānenti. Taṃ vācanāmaggato dvimattabhāṇavāraṃ. Vitthāriyamānaṃ pana anantamaparimāṇaṃ hoti.,"Furthermore, immediately after that, the section called **Aṭṭhakathākaṇḍa** is laid out, extending up to the Saraṇaduka, which serves as an exposition of the meaning of the Buddha's words in the Tipiṭaka. From this section, bhikkhus who study the Mahāpakaraṇa adjust the numerical calculations in the Mahāpakaraṇa when they cannot discern them. That section, by way of recitation, is two bhāṇavāras in extent. But when expanded, it is infinite and immeasurable."
abh01a.att,65,Iti sakalampi dhammasaṅgaṇīpakaraṇaṃ vācanāmaggato atirekaterasamattabhāṇavāraṃ. Vitthāriyamānaṃ pana anantamaparimāṇaṃ hoti. Evametaṃ –,"Thus, the entire Dhammasaṅgaṇīpakaraṇa is, by way of recitation, more than thirteen bhāṇavāras in extent. But when expanded, it is infinite and immeasurable. It is thus:"
abh01a.att,66,"Cittavibhatti rūpañca, nikkhepo atthajotanā;","The division of consciousness, and matter, the Nikkhepa, the elucidation of meaning;"
abh01a.att,67,"Gambhīraṃ nipuṇaṃ ṭhānaṃ, tampi buddhena desitaṃ.",This profound and subtle domain was also taught by the Buddha.
abh01a.att,68,Tadanantaraṃ vibhaṅgappakaraṇaṃ nāma. Taṃ khandhavibhaṅgo āyatanavibhaṅgo dhātuvibhaṅgo saccavibhaṅgo idriyavibhaṅgo paccayākāravibhaṅgo satipaṭṭhānavibhaṅgo sammappadhānavibhaṅgo iddhipādavibhaṅgo bojjhaṅgavibhaṅgo maggaṅgavibhaṅgo jhānavibhaṅgo appamaññāvibhaṅgo sikkhāpadavibhaṅgo paṭisambhidāvibhaṅgo ñāṇavibhaṅgo khuddakavatthuvibhaṅgo dhammahadayavibhaṅgoti aṭṭhārasavidhena vibhattaṃ.,"Immediately after that is the **Vibhaṅgappakaraṇa**. That is divided into eighteen types: Khandhavibhaṅga, Āyatanavibhaṅga, Dhātuvibhaṅga, Saccavibhaṅga, Indriyavibhaṅga, Paccayākāravibhaṅga, Satipaṭṭhānavibhaṅga, Sammappadhānavibhaṅga, Iddhipādavibhaṅga, Bojjhaṅgavibhaṅga, Maggaṅgavibhaṅga, Jhānavibhaṅga, Appamaññāvibhaṅga, Sikkhāpadavibhaṅga, Paṭisambhidāvibhaṅga, Ñāṇavibhaṅga, Khuddakavatthuvibhaṅga, and Dhammahadayavibhaṅga."
